mutator,step_num,domain,entropy,watermark_detected,watermark_score
DocumentMutator,111,Entertainment ,high,False,-1
DocumentMutator,112,Entertainment ,high,False,-1
DocumentMutator,113,Entertainment ,high,False,-1
DocumentMutator,114,Entertainment ,high,False,-1
DocumentMutator,115,Entertainment ,high,False,-1
DocumentMutator,116,Entertainment ,high,False,-1
DocumentMutator,117,Entertainment ,high,False,-1
DocumentMutator,118,Entertainment ,high,False,-1
DocumentMutator,119,Entertainment ,high,False,-1
DocumentMutator,120,Entertainment ,high,False,-1
DocumentMutator,121,Entertainment ,high,False,-1
DocumentMutator,122,Entertainment ,high,False,-1
DocumentMutator,123,Entertainment ,high,False,-1
DocumentMutator,124,Entertainment ,high,False,-1
DocumentMutator,125,Entertainment ,high,False,-1
